CMPCODE|CUSTID|DOCTYPE|DOCSUBTYPE|DOCNUM|SOURCESYS|INVOICEREF|GLACCT|DOCDATE|POSTDATE|K84DATE|CLEARDATE|DOCDESC|XACTREF|CUSTREF|EXTREF5|DOCCURR|HOMECURR|DUALCURR|NORMCURR|ORGVAL_DOC|ORGVAL_HOME|ORGVAL_DUAL|ORGVAL_NORM|OPENVAL_DOC|OPENVAL_HOME|OPENVAL_DUAL|OPENVAL_NORM
C310|205614010|SALE-INV-CDN|INV|22240854|LOCUS|515001444|112111|2016-03-04|2016-03-05||||10827961198312|00790285||CAD|CAD|USD|USD|30.59|30.59|24.25|24.25|30.59|30.59|24.25|24.25
C310|214063020|SALE-INV-CDN|INV|22236034|LOCUS|458827103|112111|2016-03-04|2016-03-05||||10827911692793|85058996||CAD|CAD|USD|USD|33.5|33.5|26.17|26.17|33.5|33.5|26.17|26.17
C310|101332010|SALE-INV-CDN|INV|22238633|LOCUS|320851080|112111|2016-03-04|2016-03-05||||10827690215056|ROSS21716||CAD|CAD||USD|368.07|368.07||274.54|368.07|368.07||274.54
C310|298211004|SALE-INV-CDN|INV|22240466|LOCUS|410751245|112111|2016-03-04|2016-03-05||||10827961202341|100863519||CAD|CAD||USD|8.64|8.64||6.44|8.64|8.64||6.44
C310|165548010|SALE-INV-CDN|INV|22243232|LOCUS|410738994|112111|2016-03-04|2016-03-05||||10827911731108|114456604295||CAD|CAD|USD|USD|2.17|2.17|1.7|1.7|2.17|2.17|1.7|1.7
C310|293937010|SALE-INV-CDN|INV|22241644|LOCUS|438575722|112111|2016-03-04|2016-03-05||||10827690614641|20160303||CAD|CAD||USD|634.01|634.01||472.89|634.01|634.01||472.89
C310|349675100|SALE-INV-CDN|INV|22243766|LOCUS|426247672|112111|2016-03-04|2016-03-05||||10827911613980|C101883723||CAD|CAD|USD|USD|9.27|9.27|7.24|7.24|9.27|9.27|7.24|7.24
C310|327130010|SALE-INV-CDN|INV|22237395|LOCUS|530606109|112111|2016-03-04|2016-03-05||||10827961166449|52200706||CAD|CAD||USD|42.51|42.51||31.71|42.51|42.51||31.71
C310|165548010|SALE-INV-CDN|INV|22242547|LOCUS|410731336|112111|2016-03-04|2016-03-05||||10827911676953|114456394189||CAD|CAD|USD|USD|9.93|9.93|7.76|7.76|9.93|9.93|7.76|7.76
C310|165548010|SALE-INV-CDN|INV|22242549|LOCUS|410731339|112111|2016-03-04|2016-03-05||||10827911676986|114456394127||CAD|CAD|USD|USD|12.74|12.74|9.95|9.95|12.74|12.74|9.95|9.95
